observation_date,CSINFT02USQ460S
2018-01-01,3.1333330000000004
2018-04-01,3.4333330000000002
2018-07-01,3.5666669999999998
2018-10-01,3.4333330000000002
2019-01-01,2.9666669999999997
2019-04-01,3.3333330000000001
2019-07-01,3.2999999999999998
2019-10-01,2.9666669999999997
2020-01-01,2.7333330000000000
2020-04-01,3.0000000000000000
2020-07-01,3.4333330000000002
2020-10-01,3.0666669999999998
2021-01-01,4.1333330000000004
2021-04-01,5.3666669999999996
2021-07-01,5.9666670000000002
2021-10-01,6.4333330000000002
2022-01-01,6.7333330000000000
2022-04-01,7.9333330000000002
2022-07-01,7.0333329999999998
2022-10-01,7.0666669999999998
2023-01-01,5.7333330000000000
2023-04-01,6.0333329999999998
2023-07-01,5.2999999999999998
2023-10-01,5.6333330000000004
2024-01-01,4.3666669999999996
2024-04-01,5.2666670000000000
2024-07-01,4.7000000000000002
2024-10-01,4.8333330000000005
